Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-08-05,345.7137446912111,301.03235880975103,204.31480610256065,254.9003791239816,358.7414643708955,262.0819433752459,427.15620691416024,119.63952765692977,422.9368932038835,358.10953807768135,40.558810274898605,234.884732492388,431.8880984426072,26.09019754006709,3788.0487010762618
2020-08-06,345.7137446912111,301.03235880975103,204.9868942805296,254.9003791239816,359.06818701604203,268.58267043024546,428.60304005174555,119.63952765692977,423.24029126213594,358.4436993884848,40.558810274898605,234.884732492388,432.8494520284561,26.09019754006709,3798.5939850468667
2020-08-07,345.9842562285282,301.03235880975103,204.9868942805296,255.97590814982118,359.3949096611886,273.2016080745873,429.0285792098589,119.63952765692977,423.54368932038835,358.55508649208593,40.558810274898605,234.884732492388,433.3301288213805,26.09019754006709,3806.206687012403
2020-08-08,346.2547677658452,301.89988722130647,204.9868942805296,256.2447904062811,360.04835495148166,279.8734068941921,429.7945496944629,119.9502796768179,423.8470873786408,358.8892478028894,40.558810274898605,234.884732492388,433.5704672178427,26.09019754006709,3816.8934735976436
2020-08-09,346.79579084047936,301.89988722130647,204.9868942805296,256.2447904062811,361.68196817721434,284.6634163031392,429.9647653577082,119.9502796768179,424.30218446601947,359.4461833208951,40.558810274898605,239.23444976076556,434.05114401076713,26.09019754006709,3829.8707616368893
2020-08-10,347.06630237779643,301.89988722130647,204.9868942805296,256.513672662741,360.3750775966282,287.7427080660337,430.4754123474442,119.9502796768179,424.45388349514565,359.78034463169854,40.558810274898605,239.23444976076556,434.7721592001538,26.09019754006709,3833.900079132027
2020-08-11,347.06630237779643,302.76741563286197,204.9868942805296,257.32031943212064,360.7018002417747,292.3616457103755,431.58181415853886,120.57178371659415,424.6055825242719,359.8917317352997,40.558810274898605,243.58416702914312,435.25283599307824,26.09019754006709,3847.3413006473506
2020-08-12,347.60732545243053,302.76741563286197,204.9868942805296,257.32031943212064,361.3552455320678,296.46736806090155,432.2626768115202,120.57178371659415,424.9089805825243,360.4486672533054,40.558810274898605,243.58416702914312,436.2141895789271,26.09019754006709,3855.144041177892
2020-08-13,347.8778369897476,303.63494404441747,204.9868942805296,257.85808394504045,361.68196817721434,300.9152339406381,433.11375512774686,120.57178371659415,424.9089805825243,360.56005435690656,54.07841369986481,243.58416702914312,436.69486637185156,26.09019754006709,3876.557179802286
2020-08-14,347.8778369897476,303.63494404441747,204.9868942805296,259.20249522733997,361.68196817721434,305.70524334958515,433.87972561235085,120.88253573648228,426.7293689320389,360.78282856410885,63.09148264984228,243.58416702914312,438.1368967506249,26.09019754006709,3896.266584883492
2020-08-15,347.8778369897476,303.63494404441747,204.9868942805296,259.20249522733997,362.00869082236085,309.9820374647164,434.56058826533217,120.88253573648228,427.9429611650486,361.2283769785134,67.598017124831,243.58416702914312,439.09825033647377,26.09019754006709,3908.6779930050034
2020-08-16,348.1483485270647,303.63494404441747,204.9868942805296,259.20249522733997,362.00869082236085,312.37704216918996,435.49677441318147,120.88253573648228,428.39805825242723,361.7853124965191,72.10455159981974,243.58416702914312,441.0209575081715,26.09019754006709,3919.720969646714
2020-08-17,348.41886006438176,303.63494404441747,204.9868942805296,259.7402597402597,362.00869082236085,314.60097510905825,436.0074214029175,121.19328775637042,428.39805825242723,361.7853124965191,72.10455159981974,243.58416702914312,441.74197269755814,26.09019754006709,3924.29559283583
2020-08-18,348.9598831390159,303.63494404441747,204.9868942805296,260.0091419967196,362.3354134675074,315.798477461295,437.02871538238946,121.50403977625855,429.30825242718447,362.11947380732255,72.10455159981974,243.58416702914312,445.5873870409537,26.09019754006709,3933.0515389926236
2020-08-19,349.7714177509671,303.63494404441747,204.9868942805296,260.5469065096394,362.66213611265397,318.36455393037375,437.87979369861614,121.81479179614668,429.7633495145631,362.453635118126,72.10455159981974,243.58416702914312,448.47144779850026,26.09019754006709,3942.1287867235633
2020-08-20,350.31244082560124,303.63494404441747,205.65898245849854,260.5469065096394,363.31558140294703,320.4174151056368,439.7521659943148,122.1255438160348,431.2803398058253,362.453635118126,72.10455159981974,243.58416702914312,454.96058450298017,26.09019754006709,3956.2374557530516
2020-08-21,350.31244082560124,303.63494404441747,206.3310706364675,260.81578876609933,363.31558140294703,322.1281327516893,441.11389130027743,123.05779987569919,431.8871359223301,363.0105706361317,72.10455159981974,243.58416702914312,462.41107479330896,26.09019754006709,3969.7973471239993
2020-08-22,351.1239754375524,305.3700008675284,207.00315881443646,261.35355327901914,363.64230404809354,323.4967068685313,442.0500774481268,123.99005593536359,433.1007281553398,363.6788932577386,72.10455159981974,243.58416702914312,481.15746971736206,26.09019754006709,3997.745839998122
2020-08-23,352.20602158682067,306.2375292790839,207.6752469924054,262.6979645613186,363.9690266932401,324.0099221623471,443.4118027540894,123.99005593536359,433.7075242718447,364.9041513973512,72.10455159981974,243.58416702914312,490.0499903864641,26.09019754006709,4014.6381521893586
2020-08-24,352.7470446614548,307.97258610219484,207.6752469924054,262.9668468177785,364.94919462867966,324.8652809853733,444.6884202284294,123.99005593536359,436.2864077669903,365.6838611225592,72.10455159981974,243.58416702914312,493.4147279369352,26.09019754006709,4027.0185893471944
2020-08-25,353.288067736089,308.84011451375034,207.6752469924054,262.9668468177785,365.2759172738262,325.89171157300484,445.7097142079014,124.61155997513984,437.0449029126214,366.5749579513684,72.10455159981974,243.58416702914312,495.09709671217075,26.09019754006709,4034.755052835086
2020-08-26,353.8290908107231,311.44269974841677,208.34733517037435,263.2357290742384,365.2759172738262,326.7470703960311,446.98633168224137,124.92231199502797,438.2584951456311,368.2457645053855,72.10455159981974,243.58416702914312,498.94251105556623,26.09019754006709,4048.0121730264923
2020-08-27,354.3701138853572,312.3102281599722,209.0194233483433,263.5046113306983,365.9293625641193,328.2867162774784,448.77359614631735,125.2330640149161,439.4720873786408,369.02547423059355,72.10455159981974,243.58416702914312,502.54758700249954,26.09019754006709,4060.251180507966
2020-08-28,355.4521600346255,315.78034180619414,209.69151152631224,264.04237584361806,366.9095304995589,328.62885980668887,449.9651057890347,125.2330640149161,439.92718446601947,369.9165710594027,72.10455159981974,243.58416702914312,504.9509709671217,26.09019754006709,4072.2765919825224
2020-08-29,358.15727540779613,317.5153986293051,209.69151152631224,264.84902261299777,367.8896984349985,329.6552903943204,453.02898772745067,126.47607209446862,440.98907766990294,370.5848936810096,72.10455159981974,243.58416702914312,507.5946933282061,26.09019754006709,4088.210837675798
2020-08-30,362.4854600048692,318.3829270408606,210.3635997042812,265.92455163883733,370.17675695102423,330.6817209819519,456.34819316073464,126.78682411435675,444.93325242718447,372.2557002350268,72.10455159981974,243.58416702914312,509.27706210344166,26.09019754006709,4109.394964531599
2020-08-31,364.64955230340576,320.985512275527,210.3635997042812,267.00008066467694,373.11726075734305,331.3660080403729,462.2206335426986,127.71908017402113,449.02912621359224,374.2606680998474,76.61108607480848,243.58416702914312,512.6417996539127,26.09019754006709,4139.6387720736975
2020-09-01,367.6251792138935,322.72056909863795,211.03568788225016,268.0756096905165,375.4043192733688,331.70815156958344,467.83775042979454,129.5835922933499,453.125,376.265635964668,76.61108607480848,243.58416702914312,515.0451836185349,26.09019754006709,4164.712129678616
