Date,Cases,Deaths,Cases Ratio,Deaths Ratio
2020-07-18,417.4539141091763,,0.11188293128811015,
2020-07-19,418.04966893053495,,0.1119353671835326,
2020-07-20,418.2198845937803,,0.11195316794737864,
2020-07-21,418.56031592027097,,0.11194284788634852,
2020-07-22,418.81563941513895,,0.11196317656031689,
2020-07-23,419.2411785732523,,0.11199682285616641,
2020-07-24,420.4326882159696,,0.11224222334381283,
2020-07-25,421.1986587005736,,0.11231255926469033,
2020-07-26,421.5390900270643,,0.11239313263215446,
2020-07-27,421.62419785868695,,0.1124006207944518,
2020-07-28,421.87952135355494,,0.11245297232461308,
2020-07-29,423.07103099627227,,0.11268291741862371,
2020-07-30,423.4965701543856,,0.11269552130780043,
2020-07-31,424.09232497574425,,0.11268809550437736,
2020-08-01,424.3476484706122,,0.11266651591803437,
2020-08-02,425.0285111235936,,0.11269663121823557,
2020-08-03,425.53915811332956,,0.1127571712169431,
2020-08-04,425.8795894398202,,0.11273049997324484,
2020-08-05,427.15620691416024,,0.11276418035301301,
2020-08-06,428.60304005174555,,0.11283202198996203,
2020-08-07,429.0285792098589,,0.11271815077037114,
2020-08-08,429.7945496944629,,0.11260323419227013,
2020-08-09,429.9647653577082,,0.11226612909881611,
2020-08-10,430.4754123474442,,0.11228133322788668,
2020-08-11,431.58181415853886,,0.11217663847133116,
2020-08-12,432.2626768115202,,0.1121262064904448,
2020-08-13,433.11375512774686,,0.11172639407574447,
2020-08-14,433.87972561235085,,0.11135781296271978,
2020-08-15,434.56058826533217,,0.11117840585564345,
2020-08-16,435.49677441318147,,0.11110402444091141,
2020-08-17,436.0074214029175,,0.11110463294327011,
2020-08-18,437.02871538238946,,0.1111169561470649,
2020-08-19,437.87979369861614,,0.11107698844678103,
2020-08-20,439.7521659943148,,0.11115413847438285,
2020-08-21,441.11389130027743,,0.11111748352087832,
2020-08-22,442.0500774481268,,0.11057483270330523,
2020-08-23,443.4118027540894,,0.11044875925175908,
2020-08-24,444.6884202284294,,0.11042621491859471,
2020-08-25,445.7097142079014,,0.11046760171840327,
2020-08-26,446.98633168224137,,0.11042119256969835,
2020-08-27,448.77359614631735,,0.11052853042706895,
2020-08-28,449.9651057890347,,0.11049473080363051,
2020-08-29,453.02898772745067,,0.11081350882211438,
2020-08-30,456.34819316073464,,0.11104997137035977,
2020-08-31,462.2206335426986,,0.11165723846748958,
2020-09-01,467.83775042979454,,0.11233375461796846,
2020-09-02,475.1570239493438,,0.11350937719672909,
2020-09-03,479.6677390253451,,0.11414488697645267,
2020-09-04,485.8806107337997,,0.11470336563384295,
2020-09-05,491.66794328414096,,0.11545586426789667,
2020-09-06,499.49786379342623,,0.11631789314686346,
2020-09-07,506.13627465999417,,0.11729823699939484,
2020-09-08,513.8810873376568,,0.11834763612657297,
2020-09-09,519.2428807298847,,0.11886208325943921,
2020-09-10,524.774889785358,,0.11927109596465962,
2020-09-11,531.5835163151713,,0.12012132028298131,
2020-09-12,540.6049464671739,,0.12124926768512034,
2020-09-13,549.4561609559312,,0.12206983669349167,
2020-09-14,551.7540724097431,,0.1222191158337509,
2020-09-15,560.3499634036324,,0.12298961216078189,
2020-09-16,569.2862857240123,,0.12371892901299353,
2020-09-17,578.8183628657508,,0.12436519301924999,
2020-09-18,584.6908032477148,,0.124487523913876,
2020-09-19,594.5633117159441,,0.12439365999023635,
2020-09-20,599.669781613304,,0.12431359943831174,
2020-09-21,608.4358882704386,,0.12496424010160576,
2020-09-22,623.8404057941411,,0.12677416452575427,
2020-09-23,642.9045600776183,,0.12877991854774037,
2020-09-24,661.5431752029822,,0.130610466055911,
2020-09-25,683.245672266762,,0.13246411136046204,
2020-09-26,707.9269434373351,,0.13405701252979083,
2020-09-27,722.5654904764336,,0.13511437608398108,
2020-09-28,727.0762055524349,,0.13417681017155136,
2020-09-29,752.77877070248,,0.13550370750147542,
2020-09-30,772.5237876389385,,0.13641195177358834,
2020-10-01,793.290098554869,,0.1375828011802712,
2020-10-02,820.8650360006127,,0.13893581972764724,
2020-10-03,846.3122776557899,,0.14011175261120712,
2020-10-04,868.950960867419,,0.14114123008347176,
2020-10-05,889.5470561201041,,0.14167014557352095,
2020-10-06,915.3347291017719,,0.14286428670322981,
2020-10-07,950.228940067065,,0.14440786345916914,
2020-10-08,984.6976118742447,,0.1461444281842644,
2020-10-09,1022.1450577882176,,0.14728616215996382,
2020-10-10,1052.5285536775093,,0.14797727080103157,
2020-10-11,1077.7204718378184,,0.14790103326608198,
2020-10-12,1108.2741833903556,,0.14895588188642392,
2020-10-13,1143.9343648402526,,0.14942197351572464,
2020-10-14,1189.6372704216242,,0.15104748704007148,
2020-10-15,1227.9357946518237,,0.1515335542345612,
2020-10-16,1263.340652606853,,0.1520097790849781,
2020-10-17,1300.3625593627125,,0.15292730955136,
2020-10-18,1309.128666019847,,0.153004858020814,
2020-10-19,1339.9377010672522,,0.15385886649621844,
2020-10-20,1382.491616878585,,0.15448882905395964,
2020-10-21,1433.981855010298,,0.15535288840490302,
2020-10-22,1483.6848286779348,,0.15586764011469503,
2020-10-23,1525.6429896679092,,0.15644470258247642,
2020-10-24,1570.2394934381862,,0.15704280981242025,
2020-10-25,1607.431615857291,,0.15747014440998813,
2020-10-26,1643.8577677917922,,0.15814228315551282,
2020-10-27,1682.4967233484824,,0.15859006270333426,
2020-10-28,1720.880355410305,,0.15926830586609095,
2020-10-29,1756.285213365334,,0.1596816286778746,
2020-10-30,1798.498697850176,,0.16055960935251185,
2020-10-31,1830.3290268770531,,0.16076784006033537,
2020-11-01,1868.0317962858942,,0.16143122166175614,
2020-11-02,1900.7983114606204,,0.16211074547187754,
2020-11-03,1932.9690718139882,,0.16253104680705427,
2020-11-04,1984.203986450833,,0.16377714647049915,
2020-11-05,2025.1408534613354,,0.1644347340264379,
2020-11-06,2064.290456007762,,0.1652316937043473,
2020-11-07,2115.5253706446065,,0.16577434417874917,
2020-11-08,2150.9302285996355,,0.16615942670283051,
2020-11-09,2181.8243714786636,,0.16671564654301746,
2020-11-10,2206.7609661441047,,0.16685520826638117,
2020-11-11,2248.2935879759652,,0.16742247451744904,
2020-11-12,2288.6347001651093,,0.1677890227955367,
2020-11-13,2325.4863912577234,,0.16749443167475836,
2020-11-14,2359.52952390679,,0.1676724900994625,
2020-11-15,2398.5940186215935,,0.16810687716201228,
2020-11-16,2417.31774157858,,0.16781936980862888,
2020-11-17,2454.6800796609305,,0.16804917694225252,
2020-11-18,2490.42536894245,,0.16811227859859873,
2020-11-19,2520.12800217876,,0.16790836563479616,
2020-11-20,2553.4051643432226,,0.1682360729201881,
2020-11-21,2573.3203969429264,,0.16783751525252022,
2020-11-22,2599.6187169143304,,0.1680923100219231,
2020-11-23,2631.1086146147168,,0.16845755835562748,
2020-11-24,2652.1302490255152,,0.1685169447758229,
2020-11-25,2674.2582852474084,,0.1682633061081886,
2020-11-26,2706.8545847588894,,0.16796639747496717,
2020-11-27,2733.6635517200293,,0.16789119841673883,
2020-11-28,2752.4723825086385,,0.16765302175979854,
2020-11-29,2771.9620759502286,,0.16755600659077952,
2020-11-30,2783.2814175560434,,0.1676378995608969,
2020-12-01,2803.3668658189927,,0.16735678607925542,
2020-12-02,2832.558852065567,,0.1675118286866596,
2020-12-03,2854.4315647925923,,0.16706821895280347,
2020-12-04,2876.38938535124,,0.16659959422638865,
2020-12-05,2894.262029992,,0.16633984924791403,
2020-12-06,2910.432518000306,,0.16619515296981494,
2020-12-07,2925.581712029141,,0.16591547631576833,
2020-12-08,2941.6670922058247,,0.16564882458516467,
