Date,England Total,Scotland Total,Wales Total,Northern Ireland Total,UK Total,England Daily,Scotland Total,Wales Daily,Northern Ireland Daily,UK Daily
2021-08-27,10724.577777777778,7412.0,8775.290322580646,9771.65,10319.503095975233,51.00925925925926,124.27272727272727,57.774193548387096,93.75,58.89473684210526
2021-08-28,10770.501851851852,7518.509090909091,8775.290322580646,9843.15,10369.173374613003,46.51481481481481,106.50909090909092,0.0,71.5,50.1640866873065
2021-08-29,10811.70925925926,7647.672727272728,8851.290322580646,9904.4,10420.159442724458,41.66851851851852,129.3272727272727,76.03225806451613,61.25,51.38699690402477
2021-08-30,10850.75,7718.327272727272,8851.290322580646,9967.35,10460.758513931889,39.48888888888889,70.78181818181818,0.0,62.95,40.98452012383901
2021-08-31,10889.137037037037,7827.727272727273,8976.193548387097,10033.0,10510.187306501548,38.827777777777776,109.61818181818182,124.90322580645162,65.65,49.81578947368421
2021-09-01,10934.562962962964,7939.781818181818,9083.548387096775,10106.6,10565.130030959752,45.78333333333333,112.18181818181819,107.35483870967742,73.6,55.252321981424146
2021-09-02,10987.1,8056.0,9156.935483870968,10146.25,10623.690402476781,53.12222222222222,116.36363636363636,73.38709677419355,39.65,59.06191950464396
2021-09-03,11045.851851851852,8177.818181818182,9234.064516129032,10208.65,10688.806501547988,58.75185185185185,122.01818181818182,77.12903225806451,62.4,65.13312693498452
2021-09-04,11098.97037037037,8289.563636363637,9234.064516129032,10299.25,10745.52786377709,54.84074074074074,111.85454545454546,0.0,90.6,58.1702786377709
2021-09-05,11148.103703703704,8405.236363636364,9311.129032258064,10360.85,10802.052631578947,50.04074074074074,115.78181818181818,77.06451612903226,61.6,57.29256965944273
2021-09-06,11197.775925925926,8533.472727272727,9477.612903225807,10449.05,10865.212074303405,50.37407407407407,128.45454545454547,166.48387096774192,88.2,63.76470588235294
2021-09-07,11248.222222222223,8636.854545454546,9558.387096774193,10536.45,10922.764705882353,51.00925925925926,103.49090909090908,80.7741935483871,87.4,58.03250773993808
2021-09-08,11301.574074074075,8742.254545454545,9644.483870967742,10596.95,10982.340557275542,54.233333333333334,105.63636363636364,86.09677419354838,60.5,60.3328173374613
2021-09-09,11350.68888888889,8866.436363636363,9718.58064516129,10688.5,11040.359133126934,50.09074074074074,124.2909090909091,74.09677419354838,91.55,58.843653250774
2021-09-10,11398.424074074073,8990.127272727274,9798.161290322581,10772.85,11097.222910216718,49.35740740740741,123.9090909090909,79.58064516129032,84.35,58.23839009287926
2021-09-11,11441.283333333333,9068.09090909091,9798.161290322581,10844.05,11141.891640866874,44.120370370370374,78.14545454545454,0.0,71.2,45.73839009287926
2021-09-12,11477.137037037037,9175.454545454546,9872.90322580645,10895.6,11186.185758513931,36.87592592592593,107.49090909090908,74.74193548387096,51.55,45.1594427244582
2021-09-13,11515.18148148148,9252.4,10011.870967741936,10955.55,11233.06346749226,39.03148148148148,77.10909090909091,138.96774193548387,59.95,47.71671826625387
2021-09-14,11550.935185185184,9314.763636363636,10073.935483870968,11035.05,11273.699690402476,36.553703703703704,61.36363636363637,62.064516129032256,79.5,41.21981424148607
2021-09-15,11590.503703703704,9403.927272727273,10148.064516129032,11100.25,11319.942724458204,40.885185185185186,89.4,74.12903225806451,65.2,47.363777089783284
2021-09-16,11631.918518518518,9403.927272727273,10241.322580645161,11153.8,11360.695046439629,42.49814814814815,0.0,93.25806451612904,53.55,41.6578947368421
2021-09-17,11673.68888888889,9510.818181818182,10325.774193548386,11215.75,11410.6826625387,43.083333333333336,100.52727272727273,84.45161290322581,61.95,50.54334365325077
2021-09-18,11714.9,9621.945454545454,10325.774193548386,11269.35,11456.252321981425,42.51111111111111,111.2,0.0,53.6,46.6625386996904
2021-09-19,11754.844444444445,9691.6,10413.41935483871,11313.8,11501.15479876161,41.06111111111111,69.69090909090909,87.64516129032258,44.45,45.8390092879257
2021-09-20,11803.93148148148,9744.636363636364,10583.032258064517,11364.8,11556.421052631578,49.824074074074076,53.03636363636364,169.61290322580646,51.0,55.88235294117647
2021-09-21,11849.320370370371,9796.709090909091,10666.129032258064,11422.05,11604.55572755418,46.24629629629629,52.18181818181818,83.09677419354838,57.25,48.860681114551085
2021-09-22,11898.251851851852,9862.018181818183,10746.290322580646,11475.05,11656.506191950464,50.587037037037035,65.41818181818182,80.16129032258064,53.0,53.343653250774
2021-09-23,11950.303703703703,9935.018181818183,10826.161290322581,11533.3,11711.868421052632,53.78703703703704,73.16363636363636,79.87096774193549,58.25,56.8266253869969
2021-09-24,12002.524074074074,10001.636363636364,10914.129032258064,11584.8,11767.00773993808,52.22037037037037,66.67272727272727,87.96774193548387,51.5,55.143962848297214
2021-09-25,12051.572222222223,10060.90909090909,10914.129032258064,11640.8,11814.787925696595,52.012962962962966,59.29090909090909,0.0,56.0,50.26006191950464
2021-09-26,12097.864814814815,10107.381818181819,11020.677419354839,11691.8,11864.133126934985,47.29259259259259,46.472727272727276,106.54838709677419,51.0,50.18111455108359
2021-09-27,12151.307407407407,10144.90909090909,11203.225806451614,11736.95,11922.159442724458,54.31296296296296,37.61818181818182,182.5483870967742,45.15,58.76160990712074
2021-09-28,12204.655555555555,10187.89090909091,11276.451612903225,11790.85,11975.595975232198,53.34814814814815,43.09090909090909,73.2258064516129,53.9,53.44582043343653
2021-09-29,12255.355555555556,10242.290909090909,11385.129032258064,11856.85,12029.866873065015,53.77037037037037,54.49090909090909,108.6774193548387,66.0,56.845201238390096
2021-09-30,12309.190740740742,10295.10909090909,11469.09677419355,11915.0,12085.195046439629,55.233333333333334,52.92727272727273,83.2258064516129,58.15,56.470588235294116
2021-10-01,12360.777777777777,10343.927272727273,11566.129032258064,11966.95,12138.73839009288,53.4,48.96363636363636,97.06451612903226,51.95,55.07275541795666
2021-10-02,12408.707407407408,10389.654545454545,11566.129032258064,12016.55,12184.232198142416,49.61851851851852,45.72727272727273,0.0,49.6,46.90557275541796
2021-10-03,12453.898148148148,10426.745454545455,11641.322580645161,12061.15,12230.15479876161,46.62222222222222,37.09090909090909,75.19354838709677,44.6,47.11919504643963
2021-10-04,12504.696296296297,10458.745454545455,11769.870967741936,12115.15,12283.1826625387,52.31666666666667,32.0,128.58064516129033,54.0,54.29876160990712
2021-10-05,12556.605555555556,10496.036363636364,11826.58064516129,12175.6,12334.342105263158,53.41851851851852,37.38181818181818,56.70967741935484,60.45,52.42879256965944
2021-10-06,12616.385185185185,10551.49090909091,11891.258064516129,12242.55,12394.21052631579,61.94444444444444,55.54545454545455,64.74193548387096,66.95,61.688854489164086
2021-10-07,12676.27037037037,10600.345454545455,12000.935483870968,12307.8,12455.712074303405,61.675925925925924,48.92727272727273,109.6774193548387,65.25,63.0046439628483
2021-10-08,12733.68888888889,10648.127272727274,12184.967741935483,12371.6,12518.58359133127,59.55,47.763636363636365,184.03225806451613,63.8,64.65170278637771
2021-10-09,12789.27962962963,10692.036363636364,12184.967741935483,12435.3,12570.763157894737,57.88703703703704,43.945454545454545,0.0,63.7,54.10216718266254
2021-10-10,12845.05,10734.981818181817,12184.967741935483,12491.05,12622.764705882353,57.58518518518518,42.96363636363636,0.0,55.75,53.52012383900929
2021-10-11,12903.546296296296,10776.745454545455,12329.129032258064,12546.5,12683.85294117647,59.90555555555556,41.763636363636365,144.16129032258064,55.45,62.26625386996904
2021-10-12,12963.622222222222,10811.327272727272,12395.161290322581,12610.4,12742.162538699691,61.64259259259259,34.69090909090909,66.03225806451613,63.9,59.628482972136226
2021-10-13,13028.683333333332,10858.163636363637,12468.258064516129,12683.95,12806.320433436533,67.51481481481481,46.92727272727273,73.09677419354838,73.55,66.21671826625386
2021-10-14,13099.012962962963,10906.127272727274,12553.290322580646,12749.15,12875.292569659443,71.27407407407408,47.981818181818184,85.0,65.2,69.76160990712074
